Term,Filename,Freq,Group,Title,Year,Album,GroupDir,LyricsPath,bccwj_rank
はねる,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
はねる,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
ばいいん,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
ひがむ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
ひきとる,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
ひっ掻く,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
ひとり,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
ひと言,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
びっくり,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,1972
ふう,old_17_keitai.txt,1,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,13190
ふたり,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
へその緒,old_18_kyoshinsho.txt,3,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
ほう,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,5546
ほしい,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
ほしい,old_12_25ko.txt,2,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
ほど,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,165
ほんと,old_04_memeshe.txt,2,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
まう,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
まき散らす,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
まぎれこむ,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
まつ毛,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
まとめる,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
まとめる,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
まま,old_01_yushinron.txt,1,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,NA
まま,old_09_kimitohitsuji.txt,1,Old,君と羊と青,2011,絶体絶命,old,lyrics/old/old_09_kimitohitsuji.txt,NA
まわす,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
みせる,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
みせる,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
みせる,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
みたい,old_02_futarigoto.txt,4,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,359
みたい,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,359
みな,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,51676
みる,old_01_yushinron.txt,1,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,NA
みる,old_02_futarigoto.txt,2,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
みる,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
みる,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
みる,old_07_tremolo.txt,2,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
みる,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
みる,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
みる,old_19_tummy.txt,2,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
みる,old_20_jikkyo.txt,7,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
みんな,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
めぐる,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
めでたい,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,3735
めんどい,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,18610
もどかしい,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,15503
もの,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,1914
もの,old_09_kimitohitsuji.txt,1,Old,君と羊と青,2011,絶体絶命,old,lyrics/old/old_09_kimitohitsuji.txt,1914
もの,old_11_september.txt,2,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,1914
もの,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,1914
もの,old_17_keitai.txt,6,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,1914
もらう,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
もらう,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
もん,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
もん,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
もん,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
もん,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
もん,old_09_kimitohitsuji.txt,1,Old,君と羊と青,2011,絶体絶命,old,lyrics/old/old_09_kimitohitsuji.txt,NA
もん,old_20_jikkyo.txt,2,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
ゃかしゃま,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
ゃなんだっていいんだ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
やけ,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
やつ,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
やつ,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
やめる,old_01_yushinron.txt,1,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,NA
やる,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
やる,old_03_iindesuka.txt,2,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
やる,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
やる,old_08_oshakashama.txt,2,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
やる,old_10_saidai.txt,2,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
やる,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
やる,old_18_kyoshinsho.txt,2,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
やる,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
やる,old_06_kaishin.txt,2,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,NA
やる,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
やれる,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
ゆえ,old_06_kaishin.txt,1,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,NA
ゆく,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
ゆく,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
ゆく,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
ゆける,old_05_darma.txt,3,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
よい,old_16_gogatsu.txt,3,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
よい,old_18_kyoshinsho.txt,2,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
よう,old_01_yushinron.txt,2,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,30546
よう,old_05_darma.txt,3,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,30546
よう,old_07_tremolo.txt,7,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,30546
よう,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,30546
よう,old_10_saidai.txt,2,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,30546
よう,old_12_25ko.txt,2,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,30546
よう,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,30546
よう,old_15_ordermade.txt,12,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,30546
よう,old_16_gogatsu.txt,2,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,30546
よう,old_17_keitai.txt,5,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,30546
よう,old_18_kyoshinsho.txt,2,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,30546
よう,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,30546
よう,old_20_jikkyo.txt,3,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,30546
られる,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,58
られる,old_06_kaishin.txt,2,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,58
られる,old_15_ordermade.txt,2,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,58
られる,old_17_keitai.txt,1,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,58
られる,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,58
られる,old_19_tummy.txt,2,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,58
られる,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,58
れる,old_01_yushinron.txt,3,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,21
れる,old_02_futarigoto.txt,2,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,21
れる,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,21
れる,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,21
れる,old_05_darma.txt,2,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,21
れる,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,21
れる,old_10_saidai.txt,3,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,21
れる,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,21
れる,old_16_gogatsu.txt,5,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,21
れる,old_17_keitai.txt,2,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,21
れる,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,21
れる,old_20_jikkyo.txt,3,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,21
わかる,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,NA
わかる,old_20_jikkyo.txt,5,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
わがまま,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,NA
わけ,old_17_keitai.txt,1,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,NA
わけ,old_03_iindesuka.txt,4,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
わけ,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
わけ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
ん,old_01_yushinron.txt,3,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,NA
ん,old_02_futarigoto.txt,4,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,NA
ん,old_03_iindesuka.txt,57,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
ん,old_04_memeshe.txt,4,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,NA
ん,old_05_darma.txt,3,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
ん,old_07_tremolo.txt,4,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,NA
ん,old_08_oshakashama.txt,17,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
ん,old_09_kimitohitsuji.txt,8,Old,君と羊と青,2011,絶体絶命,old,lyrics/old/old_09_kimitohitsuji.txt,NA
ん,old_10_saidai.txt,5,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,NA
ん,old_11_september.txt,3,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
ん,old_12_25ko.txt,3,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
ん,old_13_dada.txt,5,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
ん,old_14_yumebanchi.txt,6,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
ん,old_15_ordermade.txt,5,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,NA
ん,old_16_gogatsu.txt,6,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
ん,old_17_keitai.txt,4,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,NA
ん,old_18_kyoshinsho.txt,5,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
ん,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
ん,old_20_jikkyo.txt,10,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
アジア,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,1146
アタシ,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
アン,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,1303
イワン,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,16622
ウル,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,1060
ウン,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,1810
エコロジ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
エンヤコラ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,100044
オイタ,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,52303
オカズ,old_03_iindesuka.txt,1,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,6943
オプション,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,4003
オーダー,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,6355
カメ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,5256
カラス,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,5345
カラン,old_10_saidai.txt,2,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,39667
ガラクタ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,19763
キス,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,3184
キャッチフレーズ,old_01_yushinron.txt,1,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,18885
キュン,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,29866
キラッキラ,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
ギュ,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
クローン,old_01_yushinron.txt,1,Old,有心論,2006,RADWIMPS 4,old,lyrics/old/old_01_yushinron.txt,13738
ケンカ,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,2772
ケンカ,old_15_ordermade.txt,1,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,2772
ケンカ,old_17_keitai.txt,1,Old,携帯電話,2010,絶体絶命,old,lyrics/old/old_17_keitai.txt,2772
ケーキ,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,2979
ゲーム,old_20_jikkyo.txt,2,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,1323
コ,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,289
コロン,old_10_saidai.txt,2,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,24205
ショート,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,4580
シワ,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,5079
ジブン,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,87
スウィング,old_06_kaishin.txt,1,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,NA
スキップ,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,23172
スケッチ,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,9967
ズブズブ,old_20_jikkyo.txt,3,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,53758
セプテンバー,old_11_september.txt,13,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,52303
ソラ,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,1232
タイプ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,992
タダ,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,553
ダケド,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
ダメ,old_08_oshakashama.txt,3,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,741
ダ・ヴィンチ,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
チョコ,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,5953
ッコロ,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
テクノロジー,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,8920
テレパシー,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,34249
デモ,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,6758
トレモロ,old_07_tremolo.txt,1,Old,トレモロ,2006,RADWIMPS 3,old,lyrics/old/old_07_tremolo.txt,74402
ネット,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,1480
ノコッタ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
ノック,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,9157
ノック,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,9157
ノリノリ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,30737
ハイハイ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,25249
ハッケヨイ,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,112945
ハッピー,old_12_25ko.txt,2,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,7095
バイバイ,old_13_dada.txt,2,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,3383
バカ,old_16_gogatsu.txt,2,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,1224
バカ,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,1224
バカ,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,1224
パパ,old_04_memeshe.txt,1,Old,me me she,2006,RADWIMPS 4,old,lyrics/old/old_04_memeshe.txt,3023
パパ,old_10_saidai.txt,1,Old,最大公約数,2006,RADWIMPS 3,old,lyrics/old/old_10_saidai.txt,3023
パパ,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,3023
パンダ,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,11675
ヒット,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,3368
ビハインド,old_06_kaishin.txt,1,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,50308
ピアス,old_02_futarigoto.txt,1,Old,ふたりごと,2006,RADWIMPS 4,old,lyrics/old/old_02_futarigoto.txt,9219
フォン,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,9688
フォーク,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,6565
フリ,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,2802
ブクブク,old_20_jikkyo.txt,2,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,32054
プール,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,3879
ヘタ,old_09_kimitohitsuji.txt,1,Old,君と羊と青,2011,絶体絶命,old,lyrics/old/old_09_kimitohitsuji.txt,3499
ヘッド,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,5076
ヘブン,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,40341
ベイビー,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
