Term,Filename,Freq,Group,Title,Year,Album,GroupDir,LyricsPath,bccwj_rank
?,old_03_iindesuka.txt,12,Old,いいんですか?,2006,RADWIMPS 4,old,lyrics/old/old_03_iindesuka.txt,NA
?,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
?,old_06_kaishin.txt,1,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,NA
?,old_08_oshakashama.txt,2,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
?,old_11_september.txt,1,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
?,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
?,old_15_ordermade.txt,3,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,NA
?,old_16_gogatsu.txt,1,Old,五月の蝿,2013,×と○と罪と,old,lyrics/old/old_16_gogatsu.txt,NA
?,old_18_kyoshinsho.txt,1,Old,狭心症,2011,絶体絶命,old,lyrics/old/old_18_kyoshinsho.txt,NA
?,old_20_jikkyo.txt,1,Old,実況中継,2013,×と○と罪と,old,lyrics/old/old_20_jikkyo.txt,NA
?」,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
?」,old_15_ordermade.txt,6,Old,オーダーメイド,2008,アルトコロニー,old,lyrics/old/old_15_ordermade.txt,NA
DADA,old_13_dada.txt,1,Old,DADA,2011,絶体絶命,old,lyrics/old/old_13_dada.txt,NA
DARMA,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
Enhance,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
Exception,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
For,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
Forget,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
From,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
GRAND,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
I,old_12_25ko.txt,4,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
I,old_19_tummy.txt,14,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
I,old_12_25ko.txt,6,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
I,old_19_tummy.txt,13,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
Let,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
Listen,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
OH,old_11_september.txt,4,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
OH,old_11_september.txt,4,Old,セプテンバーさん,2006,RADWIMPS 3,old,lyrics/old/old_11_september.txt,NA
Or,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
PRIX,old_05_darma.txt,1,Old,DARMA GRAND PRIX,2013,×と○と罪と,old,lyrics/old/old_05_darma.txt,NA
She,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
Shut,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
So,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
There,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
Tummy,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
VS,old_06_kaishin.txt,2,Old,会心の一撃,2013,×と○と罪と,old,lyrics/old/old_06_kaishin.txt,NA
Welcome,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
What,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
When,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
You,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
a,old_19_tummy.txt,9,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
about,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
about,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
all,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
always,old_19_tummy.txt,5,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
and,old_12_25ko.txt,3,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
and,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
any,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
arms,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
be,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
beautiful,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
beautiful,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
beautiful,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
because,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
best,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
better,old_19_tummy.txt,5,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
boy,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
broke,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
but,old_08_oshakashama.txt,1,Old,おしゃかしゃま,2009,アルトコロニー,old,lyrics/old/old_08_oshakashama.txt,NA
but,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
but,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
can,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
can,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
case,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
chance,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
chance,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
could,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
course,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
cry,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
dance,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
dance,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
days,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
deeper,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
die,old_12_25ko.txt,5,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
ever,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
ever,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
feel,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
find,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
first,old_19_tummy.txt,2,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
fist,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
for,old_12_25ko.txt,9,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
for,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
for,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
girl,old_19_tummy.txt,6,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
give,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
gonna,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
guarantee,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
hance,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
hance,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
hands,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
hands,old_14_yumebanchi.txt,2,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
here,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
hey,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
hopeless,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
how,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
how,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
in,old_19_tummy.txt,7,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
is,old_12_25ko.txt,1,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
is,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
is,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
it,old_19_tummy.txt,7,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
just,old_19_tummy.txt,3,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
keep,old_19_tummy.txt,4,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
kept,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
kind,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
lack,old_19_tummy.txt,1,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
life,old_14_yumebanchi.txt,1,Old,夢番地,2006,RADWIMPS 4,old,lyrics/old/old_14_yumebanchi.txt,NA
little,old_19_tummy.txt,7,Old,Tummy,2013,×と○と罪と,old,lyrics/old/old_19_tummy.txt,NA
live,old_12_25ko.txt,3,Old,25ｺ目の染色体,2005,RADWIMPS 3,old,lyrics/old/old_12_25ko.txt,NA
